bioguideId,depiction,district,name,partyName,state,terms,updateDate,url
G000590,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/g000590_200.jpg""}",7,"Green, Mark E.",Republican,Tennessee,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2025, ""startYear"": 2019}]}",2025-07-22T11:24:37Z,https://api.congress.gov/v3/member/G000590?format=json
C000488,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/c000488_200.jpg""}",1,"Clay, William (Bill)",Democratic,Missouri,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2001, ""startYear"": 1969}]}",2025-07-18T12:34:17Z,https://api.congress.gov/v3/member/C000488?format=json
M001233,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/677448630b34857ecc909125_200.jpg""}",8,"Messmer, Mark B.",Republican,Indiana,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-07-14T14:25:50Z,https://api.congress.gov/v3/member/M001233?format=json
M000309,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/m000309_200.jpg""}",4,"McCarthy, Carolyn",Democratic,New York,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2015, ""startYear"": 1997}]}",2025-06-27T11:45:39Z,https://api.congress.gov/v3/member/M000309?format=json
W000520,"{""attribution"": ""Collection of the U.S. House of Representatives, Gift of the U.S. Association of Former Members of Congress"", ""imageUrl"": ""https://www.congress.gov/img/member/w000520_200.jpg""}",,"Williams, Pat",Democratic,Montana,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 1997, ""startYear"": 1979}]}",2025-06-26T18:44:31Z,https://api.congress.gov/v3/member/W000520?format=json
F000460,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/f000460_200.jpg""}",27,"Farenthold, Blake",Republican,Texas,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2018, ""startYear"": 2011}]}",2025-06-23T14:10:40Z,https://api.congress.gov/v3/member/F000460?format=json
N000019,"{""attribution"": ""Congressional Pictorial Directory, 92nd Congress"", ""imageUrl"": ""https://www.congress.gov/img/member/n000019_200.jpg""}",14,"Nedzi, Lucien N.",Democratic,Michigan,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 1981, ""startYear"": 1961}]}",2025-06-18T17:52:12Z,https://api.congress.gov/v3/member/N000019?format=json
R000617,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/684c2356333714e4aee2e1fd_200.jpg""}",3,"Ramirez, Delia C.",Democratic,Illinois,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-06-13T13:48:04Z,https://api.congress.gov/v3/member/R000617?format=json
S001232,"{""attribution"": ""Official U.S. Senate Photo"", ""imageUrl"": ""https://www.congress.gov/img/member/677d8231fdb6cf36bbb6498b_200.jpg""}",,"Sheehy, Tim",Republican,Montana,"{""item"": [{""chamber"": ""Senate"", ""startYear"": 2025}]}",2025-06-07T10:30:29Z,https://api.congress.gov/v3/member/S001232?format=json
L000570,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/l000570_200.jpg""}",,"Luján, Ben Ray",Democratic,New Mexico,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2021, ""startYear"": 2009}, {""chamber"": ""Senate"", ""startYear"": 2021}]}",2025-06-03T13:18:42Z,https://api.congress.gov/v3/member/L000570?format=json
