first_name,last_name,state,district,party,chamber
Dan,Crenshaw,Texas,2,Republican,House
Robert,Latta,Ohio,5,Republican,House
Lee,Hamilton,Indiana,9,Democratic,House
Christian,Menefee,Texas,18,Democratic,House
Ben,Cline,Virginia,6,Republican,House
Jim,Costa,California,21,Democratic,House
Ashley,Moody,Florida,At-Large,Republican,Senate
John,Whalley,Pennsylvania,12,Republican,House
John,Watts,Kentucky,6,Democratic,House
Standish,Thompson,Georgia,5,Republican,House
John,Terry,New York,34,Republican,House
William,Springer,Illinois,22,Republican,House
William,Spong,Virginia,At-Large,Democratic,Senate
Margaret,Smith,Maine,At-Large,Republican,Senate
H.,Smith,California,20,Republican,House
Frederick,Schwengel,Iowa,1,Republican,House
John,Schmitz,California,35,Republican,House
William,Ryan,New York,20,Democratic,House
Richard,Russell,Georgia,At-Large,Democratic,Senate
Charlotte,Reid,Illinois,15,Republican,House
Graham,Purcell,Texas,13,Democratic,House
Roman,Pucinski,Illinois,11,Democratic,House
Winston,Prouty,Vermont,At-Large,Republican,Senate
Richard,Poff,Virginia,6,Republican,House
Alexander,Pirnie,New York,32,Republican,House
Thomas,Pelly,Washington,1,Republican,House
Alvin,O'Konski,Wisconsin,10,Republican,House
Karl,Mundt,South Dakota,At-Large,Republican,Senate
Rogers,Morton,Maryland,1,Republican,House
Frank,Morse,Massachusetts,5,Republican,House
John,Monagan,Connecticut,5,Democratic,House
Jack,Miller,Iowa,At-Large,Republican,Senate
George,Miller,California,8,Democratic,House
John,McMillan,South Carolina,6,Democratic,House
James,McKevitt,Colorado,1,Republican,House
Jack,McDonald,Michigan,19,Republican,House
William,McCulloch,Ohio,4,Republican,House
Speedy,Long,Louisiana,8,Democratic,House
Sherman,Lloyd,Utah,2,Republican,House
Arthur,Link,North Dakota,2,Democratic,House
Alton,Lennon,North Carolina,7,Democratic,House
John,Kyl,Iowa,4,Republican,House
Hastings,Keith,Massachusetts,12,Republican,House
James,Kee,West Virginia,5,Democratic,House
Leonard,Jordan,Idaho,At-Large,Republican,Senate
Benjamin,Jordan,North Carolina,At-Large,Democratic,Senate
Charles,Jonas,North Carolina,9,Republican,House
William,Hull,Missouri,6,Democratic,House
Louise,Hicks,Massachusetts,9,Democratic,House
Fred,Harris,Oklahoma,At-Large,Democratic,Senate
Seymour,Halpern,New York,6,Republican,House
Durward,Hall,Missouri,7,Republican,House
George,Hagen,Georgia,1,Democratic,House
Charles,Griffin,Mississippi,3,Democratic,House
Edward,Garmatz,Maryland,3,Democratic,House
David,Gambrell,Georgia,At-Large,Democratic,Senate
Cornelius,Gallagher,New Jersey,13,Democratic,House
Nick,Galifianakis,North Carolina,4,Democratic,House
James,Fulton,Pennsylvania,27,Republican,House
Allen,Ellender,Louisiana,At-Large,Democratic,Senate
Elaine,Edwards,Louisiana,At-Large,Democratic,Senate
Edwin,Edwards,Louisiana,7,Democratic,House
Edmond,Edmonds,Oklahoma,2,Democratic,House
Florence,Dwyer,New Jersey,12,Republican,House
John,Dowdy,Texas,2,Democratic,House
John,Dow,New York,27,Democratic,House
William,Curlin,Kentucky,6,Democratic,House
Jorge,Córdova Díaz,Puerto Rico,,New Progressive,House
Robert,Corbett,Pennsylvania,18,Republican,House
John,Cooper,Kentucky,At-Large,Republican,Senate
William,Conover,Pennsylvania,27,Republican,House
William,Colmer,Mississippi,5,Democratic,House
George,Collins,Illinois,6,Democratic,House
Emanuel,Celler,New York,10,Democratic,House
Cliffard,Carlson,Illinois,15,Republican,House
Patrick,Caffery,Louisiana,3,Democratic,House
Earle,Cabell,Texas,5,Democratic,House
John,Byrnes,Wisconsin,8,Republican,House
James,Byrne,Pennsylvania,3,Democratic,House
Frank,Bow,Ohio,16,Republican,House
Thomas,Boggs,Louisiana,2,Democratic,House
James,Boggs,Delaware,At-Large,Republican,Senate
Leonard,Blanton,Tennessee,7,Democratic,House
Jackson,Betts,Ohio,8,Republican,House
Page,Belcher,Oklahoma,1,Republican,House
Nicholas,Begich,Alaska,,Democratic,House
Walter,Baring,Nevada,,Democratic,House
Wayne,Aspinall,Colorado,4,Democratic,House
George,Andrews,Alabama,3,Democratic,House
Elizabeth,Andrews,Alabama,3,Democratic,House
William,Anderson,Tennessee,6,Democratic,House
Clinton,Anderson,New Mexico,At-Large,Democratic,Senate
Gordon,Allott,Colorado,At-Large,Republican,Senate
Thomas,Abernethy,Mississippi,1,Democratic,House
Watkins,Abbitt,Virginia,4,Democratic,House
Ann,Wagner,Missouri,2,Republican,House
Doug,LaMalfa,California,1,Republican,House
Marjorie,Greene,Georgia,14,Republican,House
Dick,Zimmer,New Jersey,12,Republican,House
Richard,Schulze,Pennsylvania,5,Republican,House
Ben,Campbell,Colorado,At-Large,Republican,Senate
Michael,Rulli,Ohio,6,Republican,House
James,Justice,West Virginia,At-Large,Republican,Senate
Neal,Dunn,Florida,2,Republican,House
Eleanor,Norton,District of Columbia,,Democratic,House
Rosa,DeLauro,Connecticut,3,Democratic,House
Maxine,Waters,California,43,Democratic,House
Nancy,Pelosi,California,11,Democratic,House
Matt,Van Epps,Tennessee,7,Republican,House
Mikie,Sherrill,New Jersey,11,Democratic,House
Adelita,Grijalva,Arizona,7,Democratic,House
Eric,Crawford,Arkansas,1,Republican,House
Dick,Cheney,Wyoming,,Republican,House
Richard,Stallings,Idaho,2,Democratic,House
Carolyn,Kilpatrick,Michigan,13,Democratic,House
Todd,Young,Indiana,At-Large,Republican,Senate
Ron,Wyden,Oregon,At-Large,Democratic,Senate
Elizabeth,Warren,Massachusetts,At-Large,Democratic,Senate
Sheldon,Whitehouse,Rhode Island,At-Large,Democratic,Senate
Peter,Welch,Vermont,At-Large,Democratic,Senate
Roger,Wicker,Mississippi,At-Large,Republican,Senate
Raphael,Warnock,Georgia,At-Large,Democratic,Senate
Tommy,Tuberville,Alabama,At-Large,Republican,Senate
Mark,Warner,Virginia,At-Large,Democratic,Senate
Chris,Van Hollen,Maryland,At-Large,Democratic,Senate
Tina,Smith,Minnesota,At-Large,Democratic,Senate
Thomas,Tillis,North Carolina,At-Large,Republican,Senate
Dan,Sullivan,Alaska,At-Large,Republican,Senate
John,Thune,South Dakota,At-Large,Republican,Senate
Tim,Sheehy,Montana,At-Large,Republican,Senate
Rick,Scott,Florida,At-Large,Republican,Senate
Elissa,Slotkin,Michigan,At-Large,Democratic,Senate
Tim,Scott,South Carolina,At-Large,Republican,Senate
Jeanne,Shaheen,New Hampshire,At-Large,Democratic,Senate
Eric,Schmitt,Missouri,At-Large,Republican,Senate
Mike,Rounds,South Dakota,At-Large,Republican,Senate
Brian,Schatz,Hawaii,At-Large,Democratic,Senate
